time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-08-10T10:05:25.750Z,36.5326,71.2147,224,5.9,mww,,17,0.782,0.92,us,us100030qs,2016-11-10T21:49:34.972Z,"33km WSW of Ashkasham, Afghanistan",earthquake,5.5,1.8,,,reviewed,us,us
2015-07-24T20:59:54.120Z,33.8564,73.1926,17.03,5.1,mwr,,28,0.214,1.13,us,us20002zz3,2017-10-16T18:26:18.245Z,"19km WSW of Murree, Pakistan",earthquake,6.1,3.9,0.054,33,reviewed,us,us
2015-07-21T01:27:07.530Z,19.0777,96.2302,9.49,5,mb,,31,1.654,0.46,us,us20002ysq,2015-10-14T21:05:47.040Z,"26km NW of Taungoo, Burma",earthquake,6.7,3.6,0.047,143,reviewed,us,us
2015-07-18T05:41:26.540Z,30.4,94.8689,10,5.1,mb,,45,3.317,0.58,us,us20002ybg,2015-10-14T21:05:41.040Z,"55km S of Domartang, China",earthquake,5.9,1.7,0.063,82,reviewed,us,us
2015-07-03T03:16:35.510Z,11.4234,95.032,8.71,5.5,mww,,30,2.254,0.76,us,us10002n5q,2016-11-10T21:48:34.335Z,"250km E of Port Blair, India",earthquake,3.9,3,,,reviewed,us,us
2015-07-03T01:07:47.290Z,37.4593,78.1542,20,6.4,mww,,15,4.272,1.03,us,us10002n4w,2017-10-11T21:08:56.235Z,"97km SE of Yilkiqi, China",earthquake,6.7,1.7,,,reviewed,us,us
2015-07-02T07:18:24.020Z,34.4513,73.7102,10,5.3,mb,,40,0.878,1.05,us,us10002mzg,2015-09-30T00:20:50.040Z,"21km SW of Athmuqam, Pakistan",earthquake,5.3,1.8,0.06,92,reviewed,us,us
2015-06-29T22:07:48.500Z,36.6802,71.3004,191,5.5,mwb,,27,0.731,1.25,us,us10002mft,2016-11-10T21:48:27.284Z,"20km W of Ashkasham, Afghanistan",earthquake,4,1.8,0.068,21,reviewed,us,us
2015-06-28T01:05:28.560Z,26.6384,90.41,26,5.1,mwb,,36,1.682,0.99,us,us10002m67,2016-11-10T21:48:24.857Z,"19km N of Basugaon, India",earthquake,6.7,1.8,0.083,14,reviewed,us,us
2015-06-12T18:29:30.290Z,14.0119,93.5776,48.57,5.2,mb,,37,2.479,1.13,us,us20002pfu,2015-08-20T00:43:55.040Z,"272km NNE of Bamboo Flat, India",earthquake,6.4,2.6,0.046,153,reviewed,us,us
2015-05-16T11:34:09.980Z,27.5603,86.0734,7,5.5,mww,,13,4.928,0.72,us,us100029rn,2017-10-11T21:08:00.171Z,"26km N of Ramechhap, Nepal",earthquake,7.5,1.7,,,reviewed,us,us
2015-05-13T21:38:06.390Z,27.7199,86.0503,8.38,5,mb,,40,0.715,0.65,us,us100028tz,2015-07-17T07:06:15.040Z,"27km SSE of Kodari, Nepal",earthquake,6.5,4.3,0.046,150,reviewed,us,us
